DELIVERY_PERSON_NAME,EMPLOYMENT_TYPE,VEHICLE_TYPE,TOTAL_DELIVERIES,AVG_DELAY,AVG_RATING,ON_TIME_RATE
Anvi Dhaliwal,CONTRACT,EV BIKE,122,0.56,3.91,54.10
Aarush Yogi,CONTRACT,EV BIKE,89,0.38,4.05,67.42
Anya Boase,CONTRACT,BIKE,100,0.37,4.11,68.00
Farhan Deo,CONTRACT,VAN,108,0.43,3.98,68.52
Vritika Apte,CONTRACT,SCOOTER,140,0.45,3.94,65.71
Yasmin Ramakrishnan,FULL-TIME,SCOOTER,113,0.45,3.98,65.49
Romil Balakrishnan,CONTRACT,EV BIKE,110,0.44,3.96,64.55
Prerak Choudhary,FULL-TIME,BIKE,101,0.45,3.99,64.36
Suhana Sangha,CONTRACT,VAN,150,0.45,3.97,64.67
Lakshay Dubey,FULL-TIME,VAN,80,0.35,4.08,72.50
Mishti Dalal,CONTRACT,BIKE,110,0.35,4.18,74.55
Mannat Madan,CONTRACT,VAN,88,0.45,4.01,62.50
Darshit Saini,FULL-TIME,VAN,93,0.51,3.98,60.22
Elakshi Mandal,CONTRACT,SCOOTER,109,0.55,3.85,61.47
Sana Behl,FULL-TIME,VAN,107,0.45,3.99,65.42
Riya Dhingra,CONTRACT,VAN,88,0.58,3.92,57.95
Abram Lall,FULL-TIME,BIKE,131,0.44,3.96,64.89
Tarini Sane,CONTRACT,EV BIKE,118,0.47,3.94,66.10
Ranbir Venkataraman,FULL-TIME,SCOOTER,87,0.36,4.13,71.26
Sumer Chadha,CONTRACT,VAN,110,0.41,4.02,69.09
Gatik Sarraf,FULL-TIME,SCOOTER,111,0.47,3.97,63.96
Indrans Mane,CONTRACT,VAN,91,0.44,4.06,63.74
Jayant Bumb,FULL-TIME,VAN,98,0.39,4.08,67.35
Renee Lala,CONTRACT,BIKE,111,0.60,3.84,53.15
Misha Chaudhuri,CONTRACT,EV BIKE,118,0.45,3.99,64.41
Piya Chada,FULL-TIME,BIKE,69,0.42,3.89,66.67
Uthkarsh Khatri,FULL-TIME,VAN,108,0.58,3.86,55.56
Shray Sarma,CONTRACT,EV BIKE,107,0.41,4.11,65.42
Umang Cheema,FULL-TIME,SCOOTER,107,0.41,4.01,68.22
Vardaniya Venkatesh,CONTRACT,EV BIKE,112,0.52,3.94,58.04
Prerak Bhavsar,FULL-TIME,SCOOTER,129,0.36,4.11,68.22
Aarav Suri,CONTRACT,BIKE,109,0.47,4.01,60.55
Piya Goda,FULL-TIME,BIKE,108,0.38,4.08,74.07
Manikya Maharaj,CONTRACT,EV BIKE,103,0.52,3.97,60.19
Nitya Goyal,CONTRACT,BIKE,92,0.46,3.98,65.22
Kiara Tandon,CONTRACT,EV BIKE,108,0.39,4.08,66.67
Onkar Rege,CONTRACT,SCOOTER,103,0.52,3.97,61.17
Aarav Manda,CONTRACT,BIKE,118,0.45,3.97,67.80
Arnav Devi,CONTRACT,VAN,102,0.45,4.01,63.73
Rania Sehgal,FULL-TIME,VAN,187,0.43,4.04,65.78
Manjari Kumer,FULL-TIME,SCOOTER,119,0.45,3.94,63.87
Veer Chaudry,CONTRACT,EV BIKE,83,0.43,4.04,66.27
Saksham Goda,CONTRACT,BIKE,90,0.42,4.03,68.89
Kashvi Solanki,CONTRACT,EV BIKE,109,0.48,3.94,63.30
Anvi Suri,FULL-TIME,SCOOTER,135,0.38,4.06,69.63
Adah Roy,CONTRACT,VAN,109,0.36,4.12,70.64
Kabir Chaudhari,FULL-TIME,EV BIKE,99,0.41,3.99,68.69
Alia Sachar,FULL-TIME,SCOOTER,97,0.45,3.99,62.89
Vaibhav Kant,FULL-TIME,BIKE,111,0.41,4.02,64.86
Ayesha Kibe,FULL-TIME,BIKE,98,0.38,4.00,71.43
Aarav Ghose,CONTRACT,EV BIKE,128,0.53,3.92,60.16
Eshani Basak,CONTRACT,VAN,133,0.32,4.15,72.93
Jayant Loyal,FULL-TIME,EV BIKE,152,0.46,4.00,63.82
Samaira Butala,CONTRACT,BIKE,115,0.36,4.06,71.30
Aayush Hegde,FULL-TIME,BIKE,132,0.48,3.97,63.64
Tarini Hayer,CONTRACT,BIKE,113,0.50,3.96,60.18
Nirvi Korpal,CONTRACT,EV BIKE,115,0.50,4.01,62.61
Madhup Ben,CONTRACT,BIKE,77,0.49,3.96,63.64
Ryan Handa,CONTRACT,BIKE,83,0.49,3.97,66.27
Nishith Shere,FULL-TIME,EV BIKE,112,0.42,4.09,65.18
Darshit Khatri,FULL-TIME,EV BIKE,124,0.40,4.05,66.94
Urvi Ramakrishnan,FULL-TIME,SCOOTER,95,0.44,4.01,66.32
Aaina Dave,FULL-TIME,SCOOTER,129,0.43,4.06,66.67
Dishani Sinha,FULL-TIME,VAN,123,0.44,4.01,64.23
Jhanvi Kaul,FULL-TIME,VAN,112,0.52,3.92,57.14
Keya Kalita,CONTRACT,SCOOTER,100,0.42,4.02,64.00
Ryan Anand,CONTRACT,VAN,117,0.34,4.17,70.94
Hrishita Lad,CONTRACT,SCOOTER,115,0.40,4.05,70.43
Eva Chanda,FULL-TIME,BIKE,84,0.46,3.98,63.10
Ishaan Sethi,FULL-TIME,VAN,131,0.40,4.10,67.94
Vanya Raman,FULL-TIME,EV BIKE,114,0.52,3.96,59.65
Farhan Mani,FULL-TIME,SCOOTER,118,0.42,4.06,67.80
Rhea Kapadia,CONTRACT,VAN,102,0.45,4.01,61.76
Piya Ray,CONTRACT,VAN,100,0.46,3.98,63.00
Taimur Dhar,FULL-TIME,VAN,103,0.44,4.01,67.96
Krish Koshy,FULL-TIME,VAN,106,0.48,3.89,62.26
Hunar Barman,CONTRACT,VAN,93,0.55,3.89,56.99
Riaan Sule,CONTRACT,SCOOTER,104,0.41,4.00,67.31
Samar Hora,FULL-TIME,EV BIKE,202,0.42,4.01,66.83
Kiaan Sem,CONTRACT,BIKE,112,0.53,3.94,58.04
Khushi Kumer,CONTRACT,VAN,120,0.57,3.85,55.83
Zara Sarin,CONTRACT,BIKE,134,0.43,4.03,64.93
Siya Chada,FULL-TIME,BIKE,92,0.52,3.96,59.78
Jivin Sekhon,CONTRACT,EV BIKE,109,0.45,3.96,66.06
Kartik Hegde,CONTRACT,EV BIKE,94,0.49,3.91,64.89
Anya Bava,FULL-TIME,EV BIKE,81,0.52,3.96,60.49
Parinaaz Taneja,CONTRACT,SCOOTER,108,0.38,4.06,71.30
Trisha Ramaswamy,CONTRACT,BIKE,106,0.51,3.97,63.21
Taran Kumar,CONTRACT,SCOOTER,130,0.50,3.91,61.54
Saira Iyengar,FULL-TIME,SCOOTER,129,0.48,4.00,62.79
Akarsh Dixit,FULL-TIME,EV BIKE,99,0.52,3.90,58.59
Hrishita Choudhary,FULL-TIME,SCOOTER,101,0.67,3.76,49.50
Gatik Jha,FULL-TIME,VAN,124,0.52,3.84,59.68
Samarth Choudhary,FULL-TIME,VAN,102,0.43,4.04,66.67
Kavya Soman,CONTRACT,EV BIKE,92,0.50,3.99,63.04
Inaaya  Bhatt,FULL-TIME,VAN,118,0.42,4.07,64.41
Raghav Lalla,FULL-TIME,EV BIKE,79,0.49,3.86,63.29
Rhea Swamy,FULL-TIME,BIKE,131,0.44,4.02,67.18
Chirag Brar,CONTRACT,SCOOTER,104,0.52,3.96,60.58
Sahil Viswanathan,FULL-TIME,BIKE,108,0.40,4.03,66.67
Manjari Chana,FULL-TIME,VAN,116,0.39,4.07,69.83
Kismat Bava,FULL-TIME,SCOOTER,77,0.38,4.08,70.13
Zara Sampath,FULL-TIME,BIKE,151,0.40,4.05,68.21
Urvi Bajaj,FULL-TIME,EV BIKE,83,0.46,3.96,63.86
Pari Dey,FULL-TIME,EV BIKE,107,0.34,4.13,71.96
Reyansh Chakraborty,FULL-TIME,EV BIKE,131,0.38,4.09,68.70
Armaan Maharaj,FULL-TIME,BIKE,83,0.41,4.03,69.88
Samiha Kamdar,CONTRACT,EV BIKE,106,0.47,3.97,61.32
Aarush Bali,FULL-TIME,VAN,101,0.39,4.05,71.29
Divyansh Contractor,FULL-TIME,EV BIKE,110,0.54,3.95,59.09
Emir Verma,FULL-TIME,EV BIKE,129,0.47,4.01,63.57
Parinaaz Kota,FULL-TIME,EV BIKE,146,0.40,4.04,67.12
Divij Bassi,CONTRACT,BIKE,90,0.48,3.94,58.89
Oorja Bandi,CONTRACT,EV BIKE,63,0.46,4.06,61.90
Adira Doshi,FULL-TIME,VAN,97,0.52,3.91,61.86
Vardaniya Dixit,CONTRACT,VAN,85,0.35,4.09,72.94
Aarav Deshpande,CONTRACT,EV BIKE,141,0.44,4.03,63.83
Hunar Randhawa,FULL-TIME,SCOOTER,125,0.58,3.83,58.40
Kanav Chada,CONTRACT,BIKE,88,0.59,3.82,56.82
Sana Mander,FULL-TIME,EV BIKE,121,0.45,3.98,62.81
Mishti Bhardwaj,CONTRACT,EV BIKE,131,0.51,4.02,58.78
Nirvaan Borra,FULL-TIME,EV BIKE,84,0.52,3.93,57.14
Bhavin Sane,FULL-TIME,VAN,106,0.38,4.08,75.47
Zara Dube,CONTRACT,BIKE,75,0.48,3.97,64.00
Hazel Khosla,FULL-TIME,BIKE,100,0.44,3.98,66.00
Nirvi Chacko,FULL-TIME,EV BIKE,94,0.38,4.09,69.15
Sahil Char,FULL-TIME,EV BIKE,98,0.41,4.04,66.33
Faiyaz Wali,FULL-TIME,BIKE,153,0.48,3.98,64.71
Emir Chanda,FULL-TIME,SCOOTER,94,0.46,3.97,60.64
Divit Taneja,CONTRACT,EV BIKE,113,0.50,3.92,60.18
Jayan Iyer,FULL-TIME,EV BIKE,94,0.47,3.98,64.89
Aayush Wagle,FULL-TIME,SCOOTER,95,0.43,4.02,69.47
Dhanuk Hari,FULL-TIME,EV BIKE,136,0.56,3.82,60.29
Madhup Sandhu,FULL-TIME,EV BIKE,87,0.47,3.96,64.37
Aarna Vasa,CONTRACT,SCOOTER,105,0.38,4.03,69.52
Vidur Chakrabarti,FULL-TIME,EV BIKE,113,0.35,4.03,73.45
Tarini Goyal,CONTRACT,EV BIKE,120,0.38,4.02,71.67
Navya Jha,CONTRACT,EV BIKE,97,0.44,4.05,64.95
Ehsaan Devan,CONTRACT,BIKE,84,0.44,3.99,64.29
Advik Goyal,CONTRACT,VAN,108,0.30,4.13,75.00
Adah Sridhar,CONTRACT,VAN,83,0.45,3.97,62.65
Akarsh Sarma,FULL-TIME,EV BIKE,92,0.40,4.02,67.39
Tanya Sangha,CONTRACT,VAN,99,0.45,4.05,63.64
Aayush Khare,CONTRACT,VAN,129,0.45,4.04,66.67
Bhavin Chand,FULL-TIME,SCOOTER,125,0.46,3.97,62.40
Manikya Srinivas,CONTRACT,BIKE,96,0.41,4.00,67.71
Anaya Ghose,FULL-TIME,VAN,128,0.49,3.99,58.59
Vivaan Borra,FULL-TIME,BIKE,88,0.42,4.02,65.91
Saksham Bakshi,FULL-TIME,SCOOTER,108,0.47,4.00,65.74
Nitara Kadakia,CONTRACT,VAN,124,0.37,4.07,70.16
Nitara Choudhry,FULL-TIME,BIKE,91,0.51,3.93,59.34
Kimaya Tandon,CONTRACT,VAN,93,0.54,3.91,58.06
Kabir Shah,FULL-TIME,VAN,101,0.48,3.96,65.35
Sana Banerjee,CONTRACT,EV BIKE,92,0.41,4.08,69.57
Darshit Cheema,CONTRACT,VAN,94,0.45,4.04,60.64
Misha Bhatnagar,CONTRACT,EV BIKE,76,0.54,3.96,60.53
Vaibhav Lal,FULL-TIME,BIKE,103,0.51,3.97,58.25
Akarsh Tiwari,CONTRACT,EV BIKE,96,0.34,4.13,71.88
Prerak Lall,CONTRACT,BIKE,114,0.34,4.15,71.05
Advika Dass,CONTRACT,BIKE,103,0.40,4.07,66.02
Pranay Shukla,FULL-TIME,BIKE,101,0.38,4.20,66.34
Riaan Bhandari,FULL-TIME,VAN,144,0.44,4.02,63.19
Rhea Cherian,FULL-TIME,EV BIKE,83,0.39,4.06,66.27
Tiya Thaker,FULL-TIME,BIKE,93,0.46,3.91,61.29
Yuvraj  Devi,CONTRACT,SCOOTER,91,0.44,4.01,65.93
Biju Shanker,FULL-TIME,VAN,118,0.44,4.05,64.41
Eshani Seshadri,FULL-TIME,EV BIKE,97,0.44,3.92,64.95
Ahana  Seshadri,FULL-TIME,SCOOTER,130,0.55,3.82,56.15
Lakshay Kapadia,CONTRACT,SCOOTER,112,0.43,4.10,66.07
Arnav Lad,CONTRACT,EV BIKE,68,0.46,3.92,64.71
Eva Bawa,FULL-TIME,EV BIKE,93,0.52,3.93,62.37
Raghav Dubey,CONTRACT,EV BIKE,109,0.50,3.97,64.22
Alia Ramaswamy,FULL-TIME,SCOOTER,101,0.44,3.97,63.37
Seher Kalla,FULL-TIME,SCOOTER,89,0.37,4.07,73.03
Sana Ganguly,CONTRACT,VAN,103,0.56,3.86,59.22
Ira Ratti,FULL-TIME,EV BIKE,117,0.47,3.95,64.10
Sana Basak,FULL-TIME,SCOOTER,121,0.39,4.06,69.42
Lagan Bobal,FULL-TIME,BIKE,99,0.41,4.11,66.67
Khushi Rao,CONTRACT,SCOOTER,156,0.57,3.92,57.69
Jiya Grewal,CONTRACT,BIKE,86,0.49,4.06,62.79
Ivana Mann,CONTRACT,VAN,108,0.43,4.07,63.89
Alia Sarraf,CONTRACT,VAN,85,0.48,3.93,60.00
Anika Balay,FULL-TIME,EV BIKE,126,0.44,4.02,65.08
Arhaan Sheth,CONTRACT,EV BIKE,108,0.46,4.00,63.89
Shlok Chauhan,CONTRACT,VAN,91,0.47,3.94,63.74
Manjari Sarin,CONTRACT,EV BIKE,116,0.41,4.03,69.83
Myra Dada,FULL-TIME,VAN,120,0.43,4.00,65.83
Ranbir Hari,CONTRACT,VAN,133,0.35,4.11,73.68
Zara Sankar,CONTRACT,EV BIKE,118,0.47,3.96,61.86
Mannat Kapoor,CONTRACT,VAN,105,0.43,4.04,64.76
Vardaniya Gera,FULL-TIME,VAN,94,0.40,4.08,67.02
Dharmajan Balay,FULL-TIME,EV BIKE,116,0.39,4.08,69.83
Kaira Gour,CONTRACT,BIKE,123,0.55,3.81,58.54
Pranay Mander,FULL-TIME,EV BIKE,103,0.44,4.00,70.87
Jivin Dar,FULL-TIME,VAN,143,0.38,4.12,71.33
Anahi Bhattacharyya,FULL-TIME,SCOOTER,102,0.35,4.10,71.57
Advik Shankar,CONTRACT,BIKE,142,0.36,4.07,73.24
Indranil Grewal,CONTRACT,SCOOTER,123,0.35,4.14,72.36
Dhanush Bali,FULL-TIME,BIKE,110,0.54,3.91,56.36
Vanya Luthra,FULL-TIME,BIKE,105,0.48,4.00,62.86
Vihaan Keer,CONTRACT,SCOOTER,107,0.44,3.98,68.22
Vardaniya Basu,CONTRACT,EV BIKE,117,0.38,4.10,67.52
Umang Sheth,CONTRACT,SCOOTER,101,0.47,3.97,61.39
Ishita Gulati,FULL-TIME,BIKE,112,0.49,3.98,60.71
Rohan Madan,FULL-TIME,SCOOTER,100,0.51,3.85,61.00
Anahita Venkatesh,CONTRACT,SCOOTER,130,0.42,3.99,66.92
Amira Dani,CONTRACT,BIKE,97,0.44,4.00,68.04
Kartik Sama,FULL-TIME,BIKE,83,0.46,4.13,60.24
Arnav Kibe,FULL-TIME,EV BIKE,82,0.57,3.87,53.66
Vritika Chada,FULL-TIME,BIKE,112,0.46,3.98,61.61
Ehsaan Dass,FULL-TIME,EV BIKE,116,0.56,3.91,55.17
Anika Rau,FULL-TIME,EV BIKE,104,0.38,4.10,65.38
Priyansh Sarin,CONTRACT,VAN,87,0.47,3.92,64.37
Yuvraj  Suresh,FULL-TIME,SCOOTER,143,0.48,4.02,61.54
Nitara Mahal,CONTRACT,BIKE,128,0.43,4.03,64.06
Pihu Mann,FULL-TIME,SCOOTER,103,0.47,3.95,65.05
Ayesha Venkataraman,CONTRACT,BIKE,111,0.52,3.91,59.46
Yakshit Kibe,FULL-TIME,VAN,118,0.48,3.95,62.71
Romil Sen,CONTRACT,BIKE,96,0.35,4.13,70.83
Jayesh Lala,FULL-TIME,BIKE,101,0.42,4.01,68.32
Divyansh Khalsa,FULL-TIME,BIKE,155,0.52,3.88,61.94
Charvi Ramanathan,FULL-TIME,BIKE,103,0.48,3.96,64.08
Adah Chatterjee,CONTRACT,BIKE,79,0.46,3.99,67.09
Nayantara Mangal,CONTRACT,VAN,118,0.55,3.85,60.17
Samaira Seshadri,CONTRACT,SCOOTER,124,0.43,4.03,66.13
Uthkarsh Bal,FULL-TIME,BIKE,108,0.48,4.02,62.04
Arhaan Dar,FULL-TIME,BIKE,120,0.44,3.97,67.50
Anya Dube,FULL-TIME,BIKE,122,0.52,3.96,60.66
Charvi Sundaram,FULL-TIME,SCOOTER,134,0.47,4.02,64.18
Kimaya Kapadia,FULL-TIME,SCOOTER,120,0.48,4.01,61.67
Aarav Desai,FULL-TIME,EV BIKE,105,0.43,4.04,65.71
Vardaniya Saini,FULL-TIME,BIKE,108,0.31,4.18,73.15
Parinaaz Hora,FULL-TIME,SCOOTER,105,0.48,3.95,64.76
Tanya Khatri,CONTRACT,VAN,108,0.52,3.91,61.11
Nishith Ram,FULL-TIME,VAN,108,0.35,4.12,69.44
Aniruddh Sengupta,FULL-TIME,BIKE,117,0.38,4.06,67.52
Prerak Madan,FULL-TIME,SCOOTER,102,0.55,3.95,56.86
Nitara Bajaj,FULL-TIME,EV BIKE,87,0.52,3.96,54.02
Divit Sengupta,CONTRACT,EV BIKE,121,0.50,3.91,61.98
Rania Mangal,CONTRACT,BIKE,134,0.43,4.03,65.67
Kismat Walia,CONTRACT,EV BIKE,83,0.46,4.04,63.86
Prisha Kashyap,FULL-TIME,EV BIKE,91,0.48,3.96,62.64
Zeeshan Tripathi,CONTRACT,SCOOTER,103,0.38,4.10,69.90
Samaira Dalal,FULL-TIME,SCOOTER,161,0.46,3.98,65.22
Divij Manne,CONTRACT,SCOOTER,119,0.46,3.93,63.87
Onkar Chaudhary,FULL-TIME,VAN,97,0.40,4.11,65.98
Aaina Ray,CONTRACT,VAN,103,0.52,3.87,59.22
Devansh Garg,FULL-TIME,SCOOTER,110,0.46,4.00,63.64
Sana Rau,CONTRACT,SCOOTER,88,0.64,3.76,54.55
Indranil Tripathi,FULL-TIME,EV BIKE,102,0.41,4.01,66.67
Adah Atwal,CONTRACT,EV BIKE,119,0.44,4.03,66.39
Manjari Kibe,FULL-TIME,VAN,93,0.48,3.92,60.22
Jayan Saxena,CONTRACT,EV BIKE,88,0.40,4.08,69.32
Hiran Shanker,CONTRACT,EV BIKE,111,0.45,4.02,67.57
Rohan Sekhon,CONTRACT,SCOOTER,122,0.49,3.91,60.66
Aaryahi Upadhyay,CONTRACT,SCOOTER,110,0.50,3.93,61.82
Vanya Shan,CONTRACT,EV BIKE,133,0.41,4.01,67.67
Vihaan Kari,FULL-TIME,VAN,74,0.41,4.12,66.22
Jayant Vala,CONTRACT,VAN,124,0.44,4.02,67.74
Heer Sant,CONTRACT,SCOOTER,95,0.53,3.88,61.05
Riaan Barad,FULL-TIME,SCOOTER,87,0.45,3.98,63.22
Yuvraj  Bhatia,FULL-TIME,BIKE,153,0.39,4.10,68.63
Fateh Chander,CONTRACT,SCOOTER,82,0.40,4.00,68.29
Ishita Arora,FULL-TIME,EV BIKE,98,0.36,4.11,71.43
Riaan Mani,FULL-TIME,SCOOTER,94,0.63,3.77,53.19
Anahi Bali,FULL-TIME,SCOOTER,111,0.45,4.05,63.06
Urvi Venkataraman,CONTRACT,VAN,111,0.44,3.95,68.47
Suhana Gola,FULL-TIME,EV BIKE,102,0.36,4.09,71.57
Romil Sarma,FULL-TIME,BIKE,109,0.43,4.01,62.39
Piya Dugal,FULL-TIME,VAN,96,0.29,4.20,76.04
Gatik Andra,CONTRACT,BIKE,104,0.47,4.00,63.46
Zara Gulati,FULL-TIME,VAN,93,0.52,3.94,61.29
Sahil Walla,FULL-TIME,VAN,118,0.49,3.95,60.17
Dhanush Suresh,FULL-TIME,VAN,132,0.40,4.05,69.70
Vivaan Sani,CONTRACT,EV BIKE,92,0.42,4.01,66.30
Damini Bhargava,CONTRACT,VAN,109,0.41,4.02,66.97
Keya Sankaran,FULL-TIME,EV BIKE,108,0.45,3.95,63.89
Aradhya Sekhon,FULL-TIME,EV BIKE,100,0.38,4.07,67.00
Inaaya  Mani,CONTRACT,SCOOTER,99,0.55,3.88,58.59
Keya Sidhu,CONTRACT,SCOOTER,103,0.45,3.97,67.96
Himmat Sani,CONTRACT,VAN,91,0.51,3.95,63.74
Nitara Hayre,FULL-TIME,SCOOTER,84,0.45,4.02,64.29
Biju Dyal,FULL-TIME,BIKE,108,0.53,3.88,56.48
Indranil Kunda,CONTRACT,EV BIKE,131,0.51,3.90,58.02
Samar Gaba,CONTRACT,VAN,90,0.42,4.02,65.56
Sumer Ravi,FULL-TIME,EV BIKE,104,0.61,3.84,54.81
Mehul Mane,FULL-TIME,VAN,100,0.30,4.19,76.00
Madhav Warrior,CONTRACT,BIKE,105,0.50,3.91,64.76
Damini Sidhu,CONTRACT,BIKE,126,0.48,3.97,62.70
Trisha Singhal,CONTRACT,BIKE,100,0.48,3.92,64.00
Samaira Kapoor,FULL-TIME,BIKE,111,0.44,3.99,67.57
Abram Jain,CONTRACT,VAN,93,0.55,3.90,54.84
Anika Yohannan,FULL-TIME,VAN,144,0.43,4.07,70.14
Ayesha Mani,FULL-TIME,VAN,94,0.40,4.03,68.09
Anahita Suri,FULL-TIME,VAN,95,0.52,3.85,62.11
Oorja Bassi,CONTRACT,EV BIKE,97,0.43,4.05,64.95
Ehsaan Chauhan,CONTRACT,EV BIKE,122,0.46,3.96,62.30
Elakshi Barad,FULL-TIME,BIKE,127,0.38,4.07,67.72
Amani Yogi,CONTRACT,EV BIKE,129,0.39,4.11,71.32
Shamik Brahmbhatt,CONTRACT,BIKE,104,0.42,4.01,68.27
Kismat Boase,FULL-TIME,VAN,68,0.38,4.11,69.12
Nehmat Dewan,CONTRACT,BIKE,119,0.47,4.01,62.18
Dishani Varty,CONTRACT,SCOOTER,94,0.48,3.93,60.64
Lavanya Mall,CONTRACT,SCOOTER,118,0.45,3.98,65.25
Rati Raj,FULL-TIME,SCOOTER,98,0.38,4.09,69.39
Drishya Uppal,FULL-TIME,SCOOTER,116,0.45,3.99,65.52
Jivin Sarraf,FULL-TIME,VAN,117,0.44,4.05,64.10
Kimaya Atwal,CONTRACT,BIKE,132,0.47,4.02,64.39
Kimaya Bhatnagar,CONTRACT,EV BIKE,90,0.42,4.01,66.67
Yuvaan Wable,CONTRACT,BIKE,109,0.59,3.73,55.96
Zeeshan Trivedi,FULL-TIME,VAN,92,0.43,3.98,66.30
Aniruddh Seshadri,CONTRACT,BIKE,98,0.47,4.01,60.20
Saira Dixit,FULL-TIME,BIKE,91,0.42,4.04,64.84
Veer Rege,FULL-TIME,BIKE,123,0.52,3.92,61.79
Biju Dass,CONTRACT,BIKE,102,0.51,3.98,60.78
Aaina Thaman,CONTRACT,SCOOTER,102,0.54,3.88,57.84
Jivin Sane,CONTRACT,SCOOTER,117,0.32,4.13,74.36
Raunak Bhakta,CONTRACT,EV BIKE,85,0.38,4.02,71.76
Aayush Bhatia,CONTRACT,VAN,96,0.46,4.04,61.46
Anahi Garg,CONTRACT,SCOOTER,110,0.45,3.93,64.55
Zoya Gera,CONTRACT,SCOOTER,121,0.34,4.14,70.25
Kabir Trivedi,FULL-TIME,EV BIKE,147,0.31,4.17,74.83
Seher Gill,CONTRACT,VAN,110,0.61,3.85,51.82
Riya Sami,FULL-TIME,BIKE,116,0.50,3.96,62.93
Urvi Kulkarni,CONTRACT,BIKE,72,0.53,3.93,63.89
Shlok Lall,FULL-TIME,EV BIKE,94,0.43,4.10,65.96
Vaibhav Borde,FULL-TIME,VAN,141,0.41,3.97,70.92
Raghav Din,CONTRACT,BIKE,95,0.44,4.01,67.37
Zara Bhardwaj,CONTRACT,VAN,83,0.42,4.07,65.06
Heer Sarraf,CONTRACT,BIKE,73,0.51,3.93,63.01
Zaina Soni,FULL-TIME,SCOOTER,107,0.55,3.91,61.68
Rasha Loyal,CONTRACT,VAN,111,0.59,3.84,54.95
Gokul Saraf,FULL-TIME,BIKE,100,0.42,4.02,70.00
Eva Sankar,CONTRACT,BIKE,111,0.46,3.94,65.77
Vivaan Wali,FULL-TIME,VAN,108,0.43,4.05,70.37
Saksham Deo,FULL-TIME,SCOOTER,108,0.47,3.95,63.89
Farhan Bhandari,CONTRACT,VAN,87,0.33,4.14,73.56
Stuvan Bhat,FULL-TIME,EV BIKE,119,0.38,4.04,68.07
Prerak Cherian,FULL-TIME,VAN,126,0.58,3.84,57.94
Kartik Sachdeva,CONTRACT,SCOOTER,109,0.54,3.86,59.63
Samiha Kapadia,FULL-TIME,VAN,85,0.46,3.99,68.24
Kashvi Ravel,FULL-TIME,EV BIKE,95,0.42,4.09,67.37
Zoya Korpal,CONTRACT,SCOOTER,82,0.48,3.94,64.63
Hiran Rajagopal,FULL-TIME,EV BIKE,91,0.43,3.99,67.03
Riya Din,CONTRACT,SCOOTER,80,0.54,3.90,57.50
Bhamini Bhasin,FULL-TIME,EV BIKE,97,0.39,4.13,67.01
Kaira Solanki,CONTRACT,BIKE,75,0.41,4.03,66.67
Farhan Chadha,CONTRACT,EV BIKE,99,0.54,3.91,59.60
Tiya Kaur,CONTRACT,EV BIKE,119,0.46,3.92,63.03
Ishaan Agate,CONTRACT,BIKE,92,0.36,4.08,69.57
Kiaan Bhargava,FULL-TIME,EV BIKE,88,0.41,4.02,69.32
Kabir Ram,CONTRACT,EV BIKE,108,0.32,4.14,74.07
Advik Chandra,CONTRACT,BIKE,125,0.39,4.10,68.80
Darshit Arya,FULL-TIME,VAN,115,0.36,4.11,71.30
Saanvi Dora,FULL-TIME,VAN,115,0.41,4.03,66.96
Indranil Yadav,FULL-TIME,VAN,99,0.42,4.02,65.66
Raghav Chaudhuri,CONTRACT,VAN,131,0.51,3.99,60.31
Neelofar Sastry,FULL-TIME,BIKE,90,0.38,4.11,72.22
Urvi Acharya,CONTRACT,SCOOTER,114,0.37,4.08,70.18
Tiya Sundaram,CONTRACT,BIKE,95,0.45,4.01,67.37
Zaina Bhasin,CONTRACT,EV BIKE,78,0.51,3.89,61.54
Jiya Devi,CONTRACT,SCOOTER,110,0.47,3.99,63.64
Nayantara Datta,FULL-TIME,VAN,119,0.40,4.12,68.07
Nehmat Hari,FULL-TIME,SCOOTER,74,0.43,3.99,66.22
Eva Contractor,FULL-TIME,BIKE,110,0.48,3.92,65.45
Shaan Edwin,FULL-TIME,VAN,101,0.42,3.97,70.30
Kabir Bhatia,FULL-TIME,BIKE,84,0.60,3.73,58.33
Vidur Bhalla,FULL-TIME,SCOOTER,101,0.42,4.08,65.35
Yasmin Bhasin,CONTRACT,SCOOTER,102,0.46,3.94,66.67
Rasha Dutt,CONTRACT,EV BIKE,111,0.60,3.85,57.66
Kanav Mallick,CONTRACT,VAN,94,0.47,3.98,67.02
Rania Bahl,CONTRACT,BIKE,124,0.62,3.79,54.03
Lakshit Cherian,FULL-TIME,BIKE,98,0.47,4.02,63.27
Kiara Dube,CONTRACT,BIKE,93,0.46,4.02,62.37
Ishaan Sathe,CONTRACT,BIKE,125,0.47,4.02,60.80
Mehul Kara,FULL-TIME,BIKE,121,0.43,4.00,65.29
Anahi Reddy,CONTRACT,EV BIKE,79,0.35,4.09,70.89
Gatik De,CONTRACT,SCOOTER,82,0.44,3.99,65.85
Kiaan Sami,CONTRACT,SCOOTER,102,0.46,3.96,60.78
Farhan Biswas,CONTRACT,EV BIKE,118,0.36,4.16,69.49
Advika Acharya,FULL-TIME,VAN,107,0.51,3.97,59.81
Sumer Shroff,FULL-TIME,EV BIKE,86,0.58,3.90,59.30
Vihaan Bobal,CONTRACT,VAN,127,0.49,3.94,62.99
